index,ok,http_status,error,local_wall_ms,request_id,latency_ms,queue_wait_ms,batch_exec_ms,batch_requests,batch_prompts,batch_target_tokens,batch_max_sequence_length,batch_estimated_memory_mb,worker_id,worker_pid,gpu_utilization_peak_pct,gpu_memory_total_mb,gpu_memory_used_peak_mb,gpu_memory_free_before_mb,gpu_memory_free_after_mb,gpu_allocator_allocated_mb,gpu_allocator_reserved_mb,gpu_allocator_peak_allocated_mb,gpu_allocator_peak_reserved_mb,audio_duration_s,rtf,text
17,True,200,,13952.33478397131,bd8d37dc1b52,13924.35,390.93,13519.89,19,19,1900,305,973.6,worker-1,1126857,100.0,24576.0,21215.0,4201.0,2921.0,3496.37,7022.0,5425.84,7022.0,4.2,3.3153,The weather looks nice today. Please speak this naturally and clearly.
18,True,200,,18031.08376264572,3f4048aa0411,18009.0,1482.78,16510.43,24,24,2400,305,1229.82,worker-2,1126993,100.0,24576.0,22131.0,4201.0,2005.0,3555.65,13442.0,5992.41,13442.0,4.2,4.2879,Fast response times matter. Efficient batching should reduce total queue pressure.
19,True,200,,13906.270127743483,79084740112a,13886.58,354.23,13519.89,19,19,1900,305,973.6,worker-1,1126857,100.0,24576.0,21215.0,4201.0,2921.0,3496.37,7022.0,5425.84,7022.0,4.2,3.3063,Please read these two short sentences. They are meant for batching tests.
20,True,200,,18011.748337186873,36d11ef962f7,17985.48,1457.0,16510.43,24,24,2400,305,1229.82,worker-2,1126993,100.0,24576.0,22131.0,4201.0,2005.0,3555.65,13442.0,5992.41,13442.0,4.2,4.2823,This benchmark uses one or two sentences. We want realistic short requests.
21,True,200,,13898.70616607368,bd4ca8753ff1,13869.54,335.22,13519.89,19,19,1900,305,973.6,worker-1,1126857,100.0,24576.0,21215.0,4201.0,2921.0,3496.37,7022.0,5425.84,7022.0,4.2,3.3023,This benchmark uses one or two sentences. We want realistic short requests.
22,True,200,,17981.172948144376,7d6df6037ab8,17953.86,1424.7,16510.43,24,24,2400,305,1229.82,worker-2,1126993,100.0,24576.0,22131.0,4201.0,2005.0,3555.65,13442.0,5992.41,13442.0,4.2,4.2747,OmniVoice is running on a GPU server. This request checks queue behavior.
23,True,200,,13827.131540514529,acb9063771b6,13807.87,275.84,13519.89,19,19,1900,305,973.6,worker-1,1126857,100.0,24576.0,21215.0,4201.0,2921.0,3496.37,7022.0,5425.84,7022.0,4.2,3.2876,Hello there. This is a short batching benchmark request.
24,True,200,,17926.76276434213,adbf4974be8a,17901.25,1372.8,16510.43,24,24,2400,305,1229.82,worker-2,1126993,100.0,24576.0,22131.0,4201.0,2005.0,3555.65,13442.0,5992.41,13442.0,4.2,4.2622,Please read these two short sentences. They are meant for batching tests.
25,True,200,,13782.044457271695,03c779573d7c,13760.3,228.09,13519.89,19,19,1900,305,973.6,worker-1,1126857,100.0,24576.0,21215.0,4201.0,2921.0,3496.37,7022.0,5425.84,7022.0,4.2,3.2763,This is another compact request. It is intentionally short for concurrency tests.
26,True,200,,17906.401976011693,10d9bef7ffbd,17877.43,1345.87,16510.43,24,24,2400,305,1229.82,worker-2,1126993,100.0,24576.0,22131.0,4201.0,2005.0,3555.65,13442.0,5992.41,13442.0,4.2,4.2565,The weather looks nice today. Please speak this naturally and clearly.
27,True,200,,13763.59866373241,dbe9d5729ec8,13738.55,205.95,13519.89,19,19,1900,305,973.6,worker-1,1126857,100.0,24576.0,21215.0,4201.0,2921.0,3496.37,7022.0,5425.84,7022.0,4.2,3.2711,The server should process many users together. This request helps validate that.
28,True,200,,17852.309892885387,694b4f887c09,17833.15,1307.42,16510.43,24,24,2400,305,1229.82,worker-2,1126993,100.0,24576.0,22131.0,4201.0,2005.0,3555.65,13442.0,5992.41,13442.0,4.2,4.246,This is a short test sentence. It should be easy to batch with others.
29,True,200,,13743.568104691803,984f3b775741,13713.26,178.5,13519.89,19,19,1900,305,973.6,worker-1,1126857,100.0,24576.0,21215.0,4201.0,2921.0,3496.37,7022.0,5425.84,7022.0,4.2,3.2651,We are measuring API throughput. Keep the delivery smooth and even.
30,True,200,,17830.153324641287,7c6382b13839,17810.34,1285.71,16510.43,24,24,2400,305,1229.82,worker-2,1126993,100.0,24576.0,22131.0,4201.0,2005.0,3555.65,13442.0,5992.41,13442.0,4.2,4.2406,Please read these two short sentences. They are meant for batching tests.
31,True,200,,13720.237536355853,69982714f3f3,13691.02,155.93,13519.89,19,19,1900,305,973.6,worker-1,1126857,100.0,24576.0,21215.0,4201.0,2921.0,3496.37,7022.0,5425.84,7022.0,4.2,3.2598,This is another compact request. It is intentionally short for concurrency tests.
32,True,200,,17829.55540344119,4ecf975a26c6,17801.48,1270.06,16510.43,24,24,2400,305,1229.82,worker-2,1126993,100.0,24576.0,22131.0,4201.0,2005.0,3555.65,13442.0,5992.41,13442.0,4.2,4.2384,The server should process many users together. This request helps validate that.
33,True,200,,13682.812829501927,e83729add27a,13657.35,124.17,13519.89,19,19,1900,305,973.6,worker-1,1126857,100.0,24576.0,21215.0,4201.0,2921.0,3496.37,7022.0,5425.84,7022.0,4.2,3.2518,This is another compact request. It is intentionally short for concurrency tests.
34,True,200,,17788.771715015173,66e84a5d03a9,17761.86,1232.86,16510.43,24,24,2400,305,1229.82,worker-2,1126993,100.0,24576.0,22131.0,4201.0,2005.0,3555.65,13442.0,5992.41,13442.0,4.2,4.229,OmniVoice is running on a GPU server. This request checks queue behavior.
35,True,200,,13633.046981878579,35004e7d2ff4,13608.33,75.76,13519.89,19,19,1900,305,973.6,worker-1,1126857,100.0,24576.0,21215.0,4201.0,2921.0,3496.37,7022.0,5425.84,7022.0,4.2,3.2401,This is a short test sentence. It should be easy to batch with others.
36,True,200,,17747.608763165772,cb4256998611,17717.31,1187.6,16510.43,24,24,2400,305,1229.82,worker-2,1126993,100.0,24576.0,22131.0,4201.0,2005.0,3555.65,13442.0,5992.41,13442.0,4.2,4.2184,Fast response times matter. Efficient batching should reduce total queue pressure.
37,True,200,,13629.551734775305,8f9d1980c2d8,13601.11,65.28,13519.89,19,19,1900,305,973.6,worker-1,1126857,100.0,24576.0,21215.0,4201.0,2921.0,3496.37,7022.0,5425.84,7022.0,4.2,3.2384,The weather looks nice today. Please speak this naturally and clearly.
38,True,200,,13586.085487157106,dd7a7588f9ac,13554.13,18.85,13519.89,19,19,1900,305,973.6,worker-1,1126857,100.0,24576.0,21215.0,4201.0,2921.0,3496.37,7022.0,5425.84,7022.0,4.2,3.2272,Fast response times matter. Efficient batching should reduce total queue pressure.
39,True,200,,17687.34764494002,da4a17d54db9,17664.93,1137.61,16510.43,24,24,2400,305,1229.82,worker-2,1126993,100.0,24576.0,22131.0,4201.0,2005.0,3555.65,13442.0,5992.41,13442.0,4.2,4.2059,This is another compact request. It is intentionally short for concurrency tests.
40,True,200,,17681.15380872041,93e68d8a6760,17655.66,1127.9,16510.43,24,24,2400,305,1229.82,worker-2,1126993,100.0,24576.0,22131.0,4201.0,2005.0,3555.65,13442.0,5992.41,13442.0,4.2,4.2037,This is another compact request. It is intentionally short for concurrency tests.
41,True,200,,30183.359985239804,9dc25ed5775e,30155.17,13530.46,16608.01,24,24,2400,305,1229.82,worker-1,1126857,100.0,24576.0,22131.0,2921.0,2005.0,3496.4,7938.0,5933.16,7938.0,4.2,7.1798,Hello there. This is a short batching benchmark request.
42,True,200,,30167.128673754632,c709e3d3b98e,30142.54,13512.11,16608.01,24,24,2400,305,1229.82,worker-1,1126857,100.0,24576.0,22131.0,2921.0,2005.0,3496.4,7938.0,5933.16,7938.0,4.2,7.1768,The weather looks nice today. Please speak this naturally and clearly.
43,True,200,,17634.446932002902,8f178bf065db,17613.84,1087.7,16510.43,24,24,2400,305,1229.82,worker-2,1126993,100.0,24576.0,22131.0,4201.0,2005.0,3555.65,13442.0,5992.41,13442.0,4.2,4.1938,This benchmark uses one or two sentences. We want realistic short requests.
44,True,200,,30118.426551111042,6d622ec06d15,30091.57,13458.41,16608.01,24,24,2400,305,1229.82,worker-1,1126857,100.0,24576.0,22131.0,2921.0,2005.0,3496.4,7938.0,5933.16,7938.0,4.2,7.1647,This is another compact request. It is intentionally short for concurrency tests.
45,True,200,,17573.592023923993,c6e030d58648,17553.41,1026.17,16510.43,24,24,2400,305,1229.82,worker-2,1126993,100.0,24576.0,22131.0,4201.0,2005.0,3555.65,13442.0,5992.41,13442.0,4.2,4.1794,Hello there. This is a short batching benchmark request.
46,True,200,,30090.398436412215,606c89b85be8,30064.79,13434.05,16608.01,24,24,2400,305,1229.82,worker-1,1126857,100.0,24576.0,22131.0,2921.0,2005.0,3496.4,7938.0,5933.16,7938.0,4.2,7.1583,Hello there. This is a short batching benchmark request.
47,True,200,,17569.854727946222,3fd3fa918b2a,17541.68,1011.69,16510.43,24,24,2400,305,1229.82,worker-2,1126993,100.0,24576.0,22131.0,4201.0,2005.0,3555.65,13442.0,5992.41,13442.0,4.2,4.1766,This is a short test sentence. It should be easy to batch with others.
48,True,200,,30065.43384399265,319702dc6f22,30036.66,13402.52,16608.01,24,24,2400,305,1229.82,worker-1,1126857,100.0,24576.0,22131.0,2921.0,2005.0,3496.4,7938.0,5933.16,7938.0,4.2,7.1516,This is a short test sentence. It should be easy to batch with others.
49,True,200,,17520.94244863838,cf63449f2956,17499.54,976.19,16510.43,24,24,2400,305,1229.82,worker-2,1126993,100.0,24576.0,22131.0,4201.0,2005.0,3555.65,13442.0,5992.41,13442.0,4.2,4.1666,The weather looks nice today. Please speak this naturally and clearly.
50,True,200,,30059.96450316161,7063d622cb36,30028.25,13393.33,16608.01,24,24,2400,305,1229.82,worker-1,1126857,100.0,24576.0,22131.0,2921.0,2005.0,3496.4,7938.0,5933.16,7938.0,4.2,7.1496,OmniVoice is running on a GPU server. This request checks queue behavior.
51,True,200,,17523.625208064914,3ab690bc135b,17497.81,969.23,16510.43,24,24,2400,305,1229.82,worker-2,1126993,100.0,24576.0,22131.0,4201.0,2005.0,3555.65,13442.0,5992.41,13442.0,4.2,4.1661,This is a short test sentence. It should be easy to batch with others.
52,True,200,,30003.632155247033,db7d8d4ad97f,29974.38,13339.75,16608.01,24,24,2400,305,1229.82,worker-1,1126857,100.0,24576.0,22131.0,2921.0,2005.0,3496.4,7938.0,5933.16,7938.0,4.2,7.1368,The server should process many users together. This request helps validate that.
53,True,200,,17465.510831214488,14ab45bf520a,17442.6,914.85,16510.43,24,24,2400,305,1229.82,worker-2,1126993,100.0,24576.0,22131.0,4201.0,2005.0,3555.65,13442.0,5992.41,13442.0,4.2,4.153,This is another compact request. It is intentionally short for concurrency tests.
54,True,200,,29998.569205403328,9c2d3104f9d3,29967.0,13331.35,16608.01,24,24,2400,305,1229.82,worker-1,1126857,100.0,24576.0,22131.0,2921.0,2005.0,3496.4,7938.0,5933.16,7938.0,4.2,7.135,Please read these two short sentences. They are meant for batching tests.
55,True,200,,28834.159875288606,915359519849,28807.42,17351.75,11441.02,16,16,1600,305,819.88,worker-2,1126993,100.0,24576.0,22131.0,2005.0,2005.0,3555.6,13442.0,5237.08,13442.0,4.2,6.8589,Hello there. This is a short batching benchmark request.
56,True,200,,29863.976169377565,c9c0fdf6dd97,29827.04,13190.58,16608.01,24,24,2400,305,1229.82,worker-1,1126857,100.0,24576.0,22131.0,2921.0,2005.0,3496.4,7938.0,5933.16,7938.0,4.2,7.1017,This is another compact request. It is intentionally short for concurrency tests.
57,True,200,,28752.197653986514,8562f4042727,28726.23,17271.3,11441.02,16,16,1600,305,819.88,worker-2,1126993,100.0,24576.0,22131.0,2005.0,2005.0,3555.6,13442.0,5237.08,13442.0,4.2,6.8396,Please read these two short sentences. They are meant for batching tests.
58,True,200,,29814.588394016027,84ef782f6f7b,29787.44,13154.56,16608.01,24,24,2400,305,1229.82,worker-1,1126857,100.0,24576.0,22131.0,2921.0,2005.0,3496.4,7938.0,5933.16,7938.0,4.2,7.0922,This benchmark uses one or two sentences. We want realistic short requests.
59,True,200,,28658.798119984567,e4139cf8dacd,28639.17,17187.08,11441.02,16,16,1600,305,819.88,worker-2,1126993,100.0,24576.0,22131.0,2005.0,2005.0,3555.6,13442.0,5237.08,13442.0,4.2,6.8189,This is another compact request. It is intentionally short for concurrency tests.
60,True,200,,29729.11339532584,217ddcfab547,29701.05,13068.35,16608.01,24,24,2400,305,1229.82,worker-1,1126857,100.0,24576.0,22131.0,2921.0,2005.0,3496.4,7938.0,5933.16,7938.0,4.2,7.0717,This is a short test sentence. It should be easy to batch with others.
61,True,200,,28666.3318015635,80b366072eab,28637.16,17180.58,11441.02,16,16,1600,305,819.88,worker-2,1126993,100.0,24576.0,22131.0,2005.0,2005.0,3555.6,13442.0,5237.08,13442.0,4.2,6.8184,Fast response times matter. Efficient batching should reduce total queue pressure.
62,True,200,,29719.86056584865,40ec0c8e8f0a,29691.48,13058.94,16608.01,24,24,2400,305,1229.82,worker-1,1126857,100.0,24576.0,22131.0,2921.0,2005.0,3496.4,7938.0,5933.16,7938.0,4.2,7.0694,Hello there. This is a short batching benchmark request.
63,True,200,,28639.38560243696,8ae4ff80a87a,28621.55,17170.85,11441.02,16,16,1600,305,819.88,worker-2,1126993,100.0,24576.0,22131.0,2005.0,2005.0,3555.6,13442.0,5237.08,13442.0,4.2,6.8147,Fast response times matter. Efficient batching should reduce total queue pressure.
64,True,200,,29718.391257338226,6d9d45d00a76,29687.78,13051.86,16608.01,24,24,2400,305,1229.82,worker-1,1126857,100.0,24576.0,22131.0,2921.0,2005.0,3496.4,7938.0,5933.16,7938.0,4.2,7.0685,OmniVoice is running on a GPU server. This request checks queue behavior.
65,True,200,,28624.780976213515,e99e7910d70c,28598.82,17144.49,11441.02,16,16,1600,305,819.88,worker-2,1126993,100.0,24576.0,22131.0,2005.0,2005.0,3555.6,13442.0,5237.08,13442.0,4.2,6.8092,This is a short test sentence. It should be easy to batch with others.
66,True,200,,29664.788401685655,b62a9074e3d4,29637.0,13003.22,16608.01,24,24,2400,305,1229.82,worker-1,1126857,100.0,24576.0,22131.0,2921.0,2005.0,3496.4,7938.0,5933.16,7938.0,4.2,7.0564,This is another compact request. It is intentionally short for concurrency tests.
67,True,200,,28580.25737386197,0caac6c88f0a,28552.84,17097.81,11441.02,16,16,1600,305,819.88,worker-2,1126993,100.0,24576.0,22131.0,2005.0,2005.0,3555.6,13442.0,5237.08,13442.0,4.2,6.7983,We are measuring API throughput. Keep the delivery smooth and even.
68,True,200,,29630.75032643974,05a8139fabf7,29605.22,12973.12,16608.01,24,24,2400,305,1229.82,worker-1,1126857,100.0,24576.0,22131.0,2921.0,2005.0,3496.4,7938.0,5933.16,7938.0,4.2,7.0489,Fast response times matter. Efficient batching should reduce total queue pressure.
69,True,200,,28563.878927379847,a3ad283d587e,28539.73,17086.02,11441.02,16,16,1600,305,819.88,worker-2,1126993,100.0,24576.0,22131.0,2005.0,2005.0,3555.6,13442.0,5237.08,13442.0,4.2,6.7952,Fast response times matter. Efficient batching should reduce total queue pressure.
70,True,200,,29622.84656241536,40984a65bc27,29592.89,12956.39,16608.01,24,24,2400,305,1229.82,worker-1,1126857,100.0,24576.0,22131.0,2921.0,2005.0,3496.4,7938.0,5933.16,7938.0,4.2,7.0459,Fast response times matter. Efficient batching should reduce total queue pressure.
71,True,200,,28532.499191351235,4398961df886,28505.07,17049.18,11441.02,16,16,1600,305,819.88,worker-2,1126993,100.0,24576.0,22131.0,2005.0,2005.0,3555.6,13442.0,5237.08,13442.0,4.2,6.7869,We are measuring API throughput. Keep the delivery smooth and even.
72,True,200,,29550.594293512404,8b80f715449a,29525.53,12900.6,16608.01,24,24,2400,305,1229.82,worker-1,1126857,100.0,24576.0,22131.0,2921.0,2005.0,3496.4,7938.0,5933.16,7938.0,4.2,7.0299,Hello there. This is a short batching benchmark request.
73,True,200,,28478.55268139392,79ad679d1e1f,28458.14,17005.95,11441.02,16,16,1600,305,819.88,worker-2,1126993,100.0,24576.0,22131.0,2005.0,2005.0,3555.6,13442.0,5237.08,13442.0,4.2,6.7757,The server should process many users together. This request helps validate that.
74,True,200,,28466.503211297095,232700ce1202,28439.72,16988.67,11441.02,16,16,1600,305,819.88,worker-2,1126993,100.0,24576.0,22131.0,2005.0,2005.0,3555.6,13442.0,5237.08,13442.0,4.2,6.7714,This is another compact request. It is intentionally short for concurrency tests.
75,True,200,,29534.500499255955,9a0bdef4c48a,29499.94,12874.7,16608.01,24,24,2400,305,1229.82,worker-1,1126857,100.0,24576.0,22131.0,2921.0,2005.0,3496.4,7938.0,5933.16,7938.0,4.2,7.0238,The server should process many users together. This request helps validate that.
76,True,200,,29543.85963920504,8320bc2a008d,29505.4,12872.05,16608.01,24,24,2400,305,1229.82,worker-1,1126857,100.0,24576.0,22131.0,2921.0,2005.0,3496.4,7938.0,5933.16,7938.0,4.2,7.0251,Hello there. This is a short batching benchmark request.
77,True,200,,28461.928428150713,b8c394c6ab5b,28437.54,16984.62,11441.02,16,16,1600,305,819.88,worker-2,1126993,100.0,24576.0,22131.0,2005.0,2005.0,3555.6,13442.0,5237.08,13442.0,4.2,6.7708,Fast response times matter. Efficient batching should reduce total queue pressure.
78,True,200,,29493.41586884111,2778ba105dcb,29475.23,12851.54,16608.01,24,24,2400,305,1229.82,worker-1,1126857,100.0,24576.0,22131.0,2921.0,2005.0,3496.4,7938.0,5933.16,7938.0,4.2,7.0179,The server should process many users together. This request helps validate that.
79,True,200,,28413.339659571648,4a83bcc169b9,28392.29,16938.91,11441.02,16,16,1600,305,819.88,worker-2,1126993,100.0,24576.0,22131.0,2005.0,2005.0,3555.6,13442.0,5237.08,13442.0,4.2,6.7601,Fast response times matter. Efficient batching should reduce total queue pressure.
80,True,200,,29432.89652094245,69024a2f625f,29413.42,12790.55,16608.01,24,24,2400,305,1229.82,worker-1,1126857,100.0,24576.0,22131.0,2921.0,2005.0,3496.4,7938.0,5933.16,7938.0,4.2,7.0032,Please read these two short sentences. They are meant for batching tests.
81,True,200,,28364.125619642437,a78c165b4034,28343.18,16890.44,11441.02,16,16,1600,305,819.88,worker-2,1126993,100.0,24576.0,22131.0,2005.0,2005.0,3555.6,13442.0,5237.08,13442.0,4.2,6.7484,Fast response times matter. Efficient batching should reduce total queue pressure.
82,True,200,,29413.78228366375,a6ea0da97c0d,29385.49,12747.73,16608.01,24,24,2400,305,1229.82,worker-1,1126857,100.0,24576.0,22131.0,2921.0,2005.0,3496.4,7938.0,5933.16,7938.0,4.2,6.9965,This is another compact request. It is intentionally short for concurrency tests.
83,True,200,,28306.809038855135,d2fcd0d66685,28281.41,16827.4,11441.02,16,16,1600,305,819.88,worker-2,1126993,100.0,24576.0,22131.0,2005.0,2005.0,3555.6,13442.0,5237.08,13442.0,4.2,6.7337,OmniVoice is running on a GPU server. This request checks queue behavior.
84,True,200,,29335.6207087636,979c84fee4c2,29309.88,12678.5,16608.01,24,24,2400,305,1229.82,worker-1,1126857,100.0,24576.0,22131.0,2921.0,2005.0,3496.4,7938.0,5933.16,7938.0,4.2,6.9785,OmniVoice is running on a GPU server. This request checks queue behavior.
85,True,200,,28155.302277766168,9ab80b50228f,28136.76,16684.64,11441.02,16,16,1600,305,819.88,worker-2,1126993,100.0,24576.0,22131.0,2005.0,2005.0,3555.6,13442.0,5237.08,13442.0,4.2,6.6992,The weather looks nice today. Please speak this naturally and clearly.
86,True,200,,29180.549380369484,99ef6b515093,29157.23,12533.17,16608.01,24,24,2400,305,1229.82,worker-1,1126857,100.0,24576.0,22131.0,2921.0,2005.0,3496.4,7938.0,5933.16,7938.0,4.2,6.9422,We are measuring API throughput. Keep the delivery smooth and even.
87,True,200,,33752.17953603715,e33dead838f9,33729.6,28073.77,5646.56,8,8,800,305,409.94,worker-2,1126993,100.0,24576.0,22131.0,2005.0,2005.0,3555.56,13442.0,4393.7,13442.0,4.2,8.0309,Hello there. This is a short batching benchmark request.
88,True,200,,33662.55516838282,5ff664780208,33645.23,29125.29,4513.84,6,6,600,303,305.42,worker-1,1126857,100.0,24576.0,22131.0,2005.0,2005.0,3496.29,7938.0,4102.78,7938.0,4.2,8.0108,We are measuring API throughput. Keep the delivery smooth and even.
89,True,200,,33725.39988346398,2b9e97a5f2ad,33708.68,28053.79,5646.56,8,8,800,305,409.94,worker-2,1126993,100.0,24576.0,22131.0,2005.0,2005.0,3555.56,13442.0,4393.7,13442.0,4.2,8.0259,Please read these two short sentences. They are meant for batching tests.
90,True,200,,33619.19668316841,6d27e411cafd,33601.76,29082.09,4513.84,6,6,600,303,305.42,worker-1,1126857,100.0,24576.0,22131.0,2005.0,2005.0,3496.29,7938.0,4102.78,7938.0,4.2,8.0004,The weather looks nice today. Please speak this naturally and clearly.
91,True,200,,33693.091626279056,dacf5384d2ba,33677.43,28024.31,5646.56,8,8,800,305,409.94,worker-2,1126993,100.0,24576.0,22131.0,2005.0,2005.0,3555.56,13442.0,4393.7,13442.0,4.2,8.0184,This is a short test sentence. It should be easy to batch with others.
92,True,200,,33611.35849170387,9b5738438f41,33593.04,29072.9,4513.84,6,6,600,303,305.42,worker-1,1126857,100.0,24576.0,22131.0,2005.0,2005.0,3496.29,7938.0,4102.78,7938.0,4.2,7.9983,The server should process many users together. This request helps validate that.
93,True,200,,33670.239173807204,a4c10f117461,33652.91,28000.65,5646.56,8,8,800,305,409.94,worker-2,1126993,100.0,24576.0,22131.0,2005.0,2005.0,3555.56,13442.0,4393.7,13442.0,4.2,8.0126,Fast response times matter. Efficient batching should reduce total queue pressure.
94,True,200,,33649.8318342492,fd8bfbec9910,33628.03,27971.97,5646.56,8,8,800,305,409.94,worker-2,1126993,100.0,24576.0,22131.0,2005.0,2005.0,3555.56,13442.0,4393.7,13442.0,4.2,8.0067,OmniVoice is running on a GPU server. This request checks queue behavior.
95,True,200,,33647.36535213888,1c8cf1d6c7d7,33627.53,27971.14,5646.56,8,8,800,305,409.94,worker-2,1126993,100.0,24576.0,22131.0,2005.0,2005.0,3555.56,13442.0,4393.7,13442.0,4.2,8.0066,Hello there. This is a short batching benchmark request.
96,True,200,,33548.81184734404,bfe13c4713f9,33532.04,29011.62,4513.84,6,6,600,303,305.42,worker-1,1126857,100.0,24576.0,22131.0,2005.0,2005.0,3496.29,7938.0,4102.78,7938.0,4.2,7.9838,Fast response times matter. Efficient batching should reduce total queue pressure.
97,True,200,,33618.80412045866,534b26233d7d,33604.65,27950.67,5646.56,8,8,800,305,409.94,worker-2,1126993,100.0,24576.0,22131.0,2005.0,2005.0,3555.56,13442.0,4393.7,13442.0,4.2,8.0011,We are measuring API throughput. Keep the delivery smooth and even.
98,True,200,,33534.26759224385,df8a496d3ba2,33518.13,29000.18,4513.84,6,6,600,303,305.42,worker-1,1126857,100.0,24576.0,22131.0,2005.0,2005.0,3496.29,7938.0,4102.78,7938.0,4.2,7.9805,This benchmark uses one or two sentences. We want realistic short requests.
